seasonId,teamId,PickNumber
2016,5,1
2016,10,2
2016,8,3
2016,9,4
2016,12,5
2016,2,6
2016,1,7
2016,4,8
2016,13,9
2016,14,10
2016,11,11
2016,6,12
2016,7,13
2016,3,14
2017,14,1
2017,3,2
2017,5,3
2017,2,4
2017,7,5
2017,8,6
2017,4,7
2017,1,8
2017,12,9
2017,6,10
2017,11,11
2017,10,12
2017,9,13
2017,13,14
2018,2,1
2018,8,2
2018,4,3
2018,1,4
2018,5,5
2018,11,6
2018,12,7
2018,13,8
2018,7,9
2018,3,10
2018,9,11
2018,6,12
2018,10,13
2018,14,14
2019,9,1
2019,14,2
2019,7,3
2019,3,4
2019,13,5
2019,11,6
2019,5,7
2019,12,8
2019,4,9
2019,10,10
2019,6,11
2019,2,12
2019,1,13
2019,8,14
2020,14,1
2020,9,2
2020,4,3
2020,5,4
2020,2,5
2020,1,6
2020,8,7
2020,10,8
2020,13,9
2020,3,10
2020,12,11
2020,7,12
